Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2015-03-09,42.82129669189453,42.99270467220331,42.60593854925728,42.67186211615878,5938800
2015-03-10,42.41695785522461,42.61913132271636,42.302684729013414,42.377400354420196,7096000
2015-03-11,41.90274429321289,42.66749159811564,41.83242466761716,42.35983359572978,7484200
2015-03-12,42.6498908996582,42.67626032777164,41.92030542548217,41.97304763489165,5809800
2015-03-13,42.10929489135742,42.84327640085034,41.88514804208741,42.64989164946506,7396200
2015-03-16,42.386199951171875,42.544423276209386,42.16204968183812,42.28071549902441,8497000
2015-03-17,42.43014907836914,42.535630174719465,41.97745588029941,42.254345015662864,6408200
2015-03-18,42.85646438598633,43.014687675889554,42.02139776775995,42.4301407078128,8855600
2015-03-19,43.21247100830078,43.34432488560677,42.72461635672537,42.988320758153954,13536000
2015-03-20,44.821075439453125,45.6165847005679,44.50023277956759,45.10675326363933,29779800
2015-03-23,44.59251403808594,45.09355325792649,44.47824093524334,44.63207153080092,10471800
2015-03-24,44.23653030395508,44.68043481889869,44.21455353812457,44.412334371048125,7598800
2015-03-25,43.506935119628906,44.46945957852642,43.48496171176975,44.39034793323097,8133400
2015-03-26,43.656375885009766,43.990399898392994,42.92679023608569,43.22126009782489,9479800
2015-03-27,43.898101806640625,44.0299556799938,43.564077806330296,43.564077806330296,4403600
2015-03-30,44.342002868652344,44.6320800265037,44.18817559699618,44.49143747053478,5435400
2015-03-31,44.095890045166016,44.75954548747691,44.07830930221168,44.33761771612444,6309200
2015-04-01,43.7530632019043,44.073902460819546,43.221255079316556,43.95084064352696,6605400
2015-04-02,43.80141067504883,44.0914844881189,43.68274152406047,43.96842266722959,3840400
2015-04-06,43.832191467285156,44.22774650049722,43.31357121693976,43.401471590279264,5027400
2015-04-07,43.77943420410156,44.065115349171485,43.7179032932475,43.8321764219121,3993600
2015-04-08,44.32001876831055,44.37715699773804,43.827771580519695,43.950833377467404,6522400
2015-04-09,44.26728820800781,44.69361190815247,44.214545990927625,44.39035002801182,5301000
2015-04-10,43.93765640258789,44.42551100725694,43.92007566375856,44.3551880519396,5918200
2015-04-13,43.62999725341797,43.97720929069231,43.53770089209436,43.93765514434632,7313800
2015-04-14,43.74428176879883,43.86734361594747,43.379488898191184,43.53771223114911,4770800
2015-04-15,43.876136779785156,44.27169512223922,43.832186597997804,44.227741587267936,5716200
2015-04-16,43.906898498535156,44.0255643145611,43.687144255152276,43.72669840943305,4104000
2015-04-17,43.31355667114258,43.673953445898995,43.13335660717278,43.58604974889549,6049600
2015-04-20,43.946449279785156,44.100276567709706,43.52012554383471,43.54649833118133,6208600
2015-04-21,44.07829284667969,44.32441644978856,43.827773221177424,44.28486230779575,5125200
2015-04-22,44.016780853271484,44.12226196374423,43.63880324146143,44.082707804760965,3905800
2015-04-23,44.43870162963867,44.65405984085191,43.70911596057249,43.85415456030495,4668200
2015-04-24,44.368370056152344,44.51340862774288,44.04313479064439,44.15301188672518,4334000
2015-04-27,44.36398696899414,44.82986488398544,44.289267979101304,44.50902221872868,5158400
2015-04-28,43.88930892944336,44.30244789692934,43.594839107299634,44.30244789692934,6031600
2015-04-29,44.025550842285156,44.16619338088478,43.625599985372936,43.74426576508593,5395200
